Jaegersborggade, 9x7, amateur, d = 4

[95mAlphaBeta[0m
         2488808989 function calls (1150783720 primitive calls) in 3296.220 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       39    0.000    0.000    0.000    0.000 parser.py:18(__init__)
       39    0.000    0.000    0.016    0.000 parser.py:42(parse)
       39    0.000    0.000    0.016    0.000 parser.py:60(parsestr)
       39    0.000    0.000    0.000    0.000 platform.py:1135(system)
       39    0.000    0.000    0.000    0.000 platform.py:1154(release)
       78    0.000    0.000    0.000    0.000 platform.py:1221(_sys_version)
       39    0.000    0.000    0.000    0.000 platform.py:1321(python_implementation)
       39    0.000    0.000    0.000    0.000 platform.py:1334(python_version)
       78    0.000    0.000    0.000    0.000 platform.py:997(uname)
       39    0.000    0.000    0.008    0.000 poolmanager.py:101(connection_from_host)
       39    0.000    0.000    0.009    0.000 poolmanager.py:129(connection_from_url)
       78    0.000    0.000    0.001    0.000 poolmanager.py:61(__init__)
       39    0.000    0.000    0.011    0.000 poolmanager.py:65(<lambda>)
       39    0.000    0.000    0.007    0.000 poolmanager.py:75(_new_pool)
       78    0.000    0.000    0.012    0.000 poolmanager.py:92(clear)
      429    0.002    0.000    0.005    0.000 queue.py:115(put)
      468    0.002    0.000    0.006    0.000 queue.py:147(get)
       39    0.000    0.000    0.000    0.000 queue.py:236(_init)
      897    0.000    0.000    0.001    0.000 queue.py:239(_qsize)
      429    0.000    0.000    0.000    0.000 queue.py:242(_put)
      429    0.000    0.000    0.001    0.000 queue.py:245(_get)
       39    0.000    0.000    0.001    0.000 queue.py:27(__init__)
        1    0.000    0.000    0.000    0.000 random.py:220(_randbelow)
        1    0.000    0.000    0.000    0.000 random.py:250(choice)
       78    0.004    0.000    0.019    0.000 request.py:2383(getproxies_environment)
       39    0.000    0.000    0.001    0.000 request.py:2510(getproxies_registry)
       39    0.000    0.000    0.010    0.000 request.py:2555(getproxies)
       39    0.000    0.000    0.002    0.000 request.py:2564(proxy_bypass_registry)
       39    0.000    0.000    0.013    0.000 request.py:2614(proxy_bypass)
      117    0.000    0.000    0.000    0.000 request.py:43(__init__)
      118    0.000    0.000    0.000    0.000 response.py:1(is_fp_closed)
       78    0.000    0.000    0.000    0.000 response.py:131(<genexpr>)
       78    0.000    0.000    0.001    0.000 response.py:152(release_conn)
       79    0.000    0.000    0.001    0.000 response.py:176(_init_decoder)
       79    0.000    0.000    0.000    0.000 response.py:186(_decode)
       79    0.001    0.000    0.006    0.000 response.py:205(read)
       79    0.000    0.000    0.006    0.000 response.py:286(stream)
       39    0.001    0.000    0.005    0.000 response.py:312(from_httplib)
       39    0.000    0.000    0.000    0.000 response.py:352(closed)
       39    0.001    0.000    0.001    0.000 response.py:97(__init__)
       78    0.000    0.000    0.000    0.000 retry.py:112(__init__)
       39    0.000    0.000    0.000    0.000 retry.py:192(is_forced_retry)
       39    0.001    0.000    0.008    0.000 sessions.py:286(__init__)
       39    0.001    0.000    0.029    0.001 sessions.py:346(prepare_request)
       39    0.001    0.000    9.739    0.250 sessions.py:386(request)
      273    0.002    0.000    0.008    0.000 sessions.py:42(merge_setting)
       39    0.001    0.000    9.681    0.248 sessions.py:539(send)
       39    0.000    0.000    0.001    0.000 sessions.py:594(<listcomp>)
       39    0.000    0.000    0.027    0.001 sessions.py:609(merge_environment_settings)
       39    0.000    0.000    0.000    0.000 sessions.py:633(get_adapter)
       39    0.000    0.000    0.013    0.000 sessions.py:643(close)
       78    0.000    0.000    0.000    0.000 sessions.py:648(mount)
       78    0.000    0.000    0.000    0.000 sessions.py:654(<listcomp>)
      312    0.000    0.000    0.001    0.000 sessions.py:70(<genexpr>)
       39    0.000    0.000    0.000    0.000 sessions.py:75(merge_hooks)
       39    0.000    0.000    0.000    0.000 sessions.py:92(resolve_redirects)
       78    0.000    0.000    0.000    0.000 six.py:267(itervalues)
       39    0.001    0.000    0.001    0.000 socket.py:129(__init__)
       39    0.001    0.000    0.002    0.000 socket.py:204(makefile)
       39    0.000    0.000    0.000    0.000 socket.py:389(_decref_socketios)
       39    0.005    0.000    0.005    0.000 socket.py:395(_real_close)
       39    0.000    0.000    0.005    0.000 socket.py:399(close)
       39    0.000    0.000    0.000    0.000 socket.py:545(__init__)
       40    0.000    0.000    9.544    0.239 socket.py:557(readinto)
       79    0.000    0.000    0.000    0.000 socket.py:596(readable)
       39    0.000    0.000    0.000    0.000 socket.py:634(close)
       39    0.000    0.000    0.040    0.001 socket.py:711(getaddrinfo)
      156    0.000    0.000    0.001    0.000 socket.py:87(_intenum_converter)
      234    0.001    0.000    0.008    0.000 structures.py:42(__init__)
     1014    0.001    0.000    0.001    0.000 structures.py:48(__setitem__)
      624    0.001    0.000    0.001    0.000 structures.py:53(__getitem__)
      156    0.000    0.000    0.002    0.000 structures.py:59(__iter__)
