[95mAlphaBeta[0m
         1457038397 function calls (-531564769 primitive calls) in 5076.367 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       16    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
       88    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
236009590   37.693    0.000   37.693    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
        8    0.000    0.000    0.000    0.000 {method 'clear' of 'collections.OrderedDict' objects}
        4    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
        4    0.001    0.000    0.001    0.000 {method 'connect' of '_socket.socket' objects}
        4    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
       24    0.000    0.000    0.000    0.000 {method 'count' of 'str' objects}
       16    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
  132/128    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        8    0.000    0.000    0.000    0.000 {method 'end' of '_sre.SRE_Match' objects}
        8    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        8    0.000    0.000    0.000    0.000 {method 'extend' of 'collections.deque' objects}
        8    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       88    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        8    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       24    0.000    0.000    0.000    0.000 {method 'fullmatch' of '_sre.SRE_Pattern' objects}
-768212480  438.998   -0.000  438.998   -0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
        8    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
       12    0.000    0.000    0.000    0.000 {method 'items' of 'collections.OrderedDict' objects}
228522238   23.269    0.000   23.269    0.000 {method 'items' of 'dict' objects}
       36    0.000    0.000    0.001    0.000 {method 'join' of 'bytes' objects}
       84    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       28    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
     1011    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       28    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       44    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
       16    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        8    0.000    0.000    0.000    0.000 {method 'pop' of 'collections.OrderedDict' objects}
       32    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       48    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       32    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
        8    0.000    0.000    0.000    0.000 {method 'read' of '_io.StringIO' objects}
        5    0.000    0.000    0.000    0.000 {method 'readinto' of '_io.BufferedReader' objects}
       36    0.000    0.000    0.119    0.003 {method 'readline' of '_io.BufferedReader' objects}
        7    0.119    0.017    0.119    0.017 {method 'recv_into' of '_socket.socket' objects}
